id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm241253,The SpongeBob Movie: Sponge on the Run,MOVIE,"When his best friend Gary is suddenly snatched away, SpongeBob takes Patrick on a madcap mission far beyond Bikini Bottom to save their pink-shelled pal.",2020,PG,91,"['comedy', 'family', 'fantasy', 'scifi', 'animation']","['US', 'KR']",,tt4823776,5.9,19276.0,114.568,7.544
tm458961,Pull,MOVIE,"Charles, and Kyle are three private investigators that specialize in missing persons cases. Mickey and her team get in way over there heads when they cross a serial killer who has three very nasty pets that have a taste for human flesh. The team must do what the can to stay alive and to save the killer's next prey before its to late.",2019,,107,"['thriller', 'horror']",['US'],,tt3619972,2.9,174.0,2.805,4.3
ts269710,Deliciousness,SHOW,"Celebrate the funniest food moments on the internet, from home cooking disasters to barbecue fails.",2020,TV-14,21,"['comedy', 'reality']",['US'],3.0,tt13540190,4.2,221.0,3.81,
ts91095,The Unicorn,SHOW,"A tight-knit group of best friends and family helps Wade embrace his “new normal” in the wake of the loss of his wife. As a sometimes ill-equipped but always devoted single parent to his two adolescent daughters, he is taking the major step of dating again.",2019,TV-PG,21,"['comedy', 'romance', 'drama', 'family']",['US'],2.0,tt10329028,7.2,4389.0,16.842,6.7
ts37656,The Greatest,SHOW,"The Greatest is a VH1 series. Each episode counts down either songs, albums, music videos, moments, musicians, or celebrities of a particular category.",2019,,43,"['history', 'sport', 'documentation', 'music']",['US'],3.0,tt9537254,6.7,13.0,1.72,
tm948295,Hunger Ward,MOVIE,"Filmed from inside two of the most active therapeutic feeding centers in Yemen, HUNGER WARD documents two female health care workers fighting to thwart the spread of starvation against the backdrop of a forgotten war. The film provides an unflinching portrait of Dr. Aida Alsadeeq and Nurse Mekkia Mahdi as they try to save the lives of hunger-stricken children within a population on the brink of famine.",2020,,40,['documentation'],['US'],,,,,1.898,7.8
ts109806,Alternatino with Arturo Castro,SHOW,A sketch show based on Arturo's experiences as a Latino millennial in the United States.,2019,TV-MA,21,['comedy'],['US'],1.0,tt8548866,7.9,582.0,1.686,7.0
tm373576,Wild Honey Pie!,MOVIE,"A wanna-be author feels pressured to move beyond her meandering writing career and get a more stable job. She decides to organize a Shakespeare festival, a plan that could have tricky ramifications for her marriage.",2019,,88,"['drama', 'comedy']",['GB'],,tt7253190,4.8,265.0,2.048,4.2
ts89456,Klepper,SHOW,"In this docuseries punctuated with self-deprecating wit and lots of way-harder-than-I-thought reality checks, Jordan Klepper leaves the comfort of the studio and embeds on the front lines of America’s push for change.",2019,TV-14,21,"['documentation', 'comedy']",['US'],1.0,tt9454910,7.2,267.0,1.516,
tm908181,Looks That Kill,MOVIE,"A teenage boy lives out the hilarious and often tragic consequences of being lethally attractive, until he meets Alex, a girl struggling with a congenital defect.",2020,,92,"['comedy', 'drama', 'romance']",['US'],,tt8179470,6.3,4667.0,13.318,7.3
tm425850,Tucked,MOVIE,"An aging 80 year old drag queen forms an unlikely friendship with a younger queen, both struggling with their own issues of gender identity and mortality. As they discover more about each other, they realize how to truly be themselves.",2019,,80,['drama'],['GB'],,tt6773126,6.8,815.0,3.797,7.2
ts90136,Double Shot at Love,SHOW,"Twenty eligible ladies will face off against one another hoping to avoid the elimination ceremony, while the boys must compete for the affection of the contestants as well.",2019,TV-14,43,['reality'],['US'],3.0,tt9698572,6.1,396.0,3.263,8.8
tm922361,Rook.,MOVIE,A failed gold heist leaves two siblings and a few of their friends at the mercy of two backwoods brothers hell-bent on getting back what's theirs.,2020,,69,"['drama', 'comedy', 'european', 'crime']",['CH'],,tt8487982,4.1,877.0,3.073,6.7
tm494703,Vanilla,MOVIE,"A freewheeling comedian determined to save her family business invites an uptight entrepreneur on a road trip to sell a van with a complicated history. Romance ignites on their three day trip south, but is tested as they discover each other's secrets. When the van sale deteriorates, they must decide if their very new connection is worth more than a very old van.",2020,,87,"['comedy', 'romance']",['US'],,tt8998752,5.6,152.0,1.867,6.0
tm934218,Say Your Prayers,MOVIE,Two orphaned brothers turned radical Christian hitmen venture to rural Ilkley under the instruction of Father Enoch. Their mission: assassinate the famed atheist writer Professor John Huxley.,2020,,84,"['comedy', 'crime', 'drama', 'thriller']","['GB', 'US']",,tt4229826,5.3,337.0,2.921,8.2
ts262778,Santiago of the Seas,SHOW,"Join Santiago, an 8-year-old pirate, and his crew as they embarks on rescues, uncover hidden treasures and keeps the Caribbean high seas safe. The show is infused with Spanish language and Latino-Caribbean culture and curriculum.",2020,TV-Y,21,"['action', 'family', 'fantasy', 'animation']",['US'],2.0,tt12844622,6.8,153.0,5.364,7.3
ts179157,Tough As Nails,SHOW,"Working-class Americans are tested for their strength, endurance, agility and mental toughness in challenges that take place in the real world.",2020,TV-PG,45,['reality'],['US'],4.0,tt11061808,6.4,29.0,4.098,8.5
ts87153,Lindsay Lohan's Beach Club,SHOW,Follows Lindsay Lohan as she works to expand her business empire with the launch of Lohan Beach House on the Greek island of Mykonos.,2019,TV-14,38,['reality'],['US'],1.0,tt8961828,4.1,526.0,3.329,10.0
ts90450,68 Whiskey,SHOW,"A dark comedy following a multicultural mix of men and women deployed as Army medics to a forward operating base in Afghanistan nicknamed “The Orphanage.” Together, they endure a dangerous and Kafkaesque world that leads to self-destructive appetites, outrageous behavior, intense camaraderie and occasionally, a profound sense of purpose.",2020,TV-MA,40,"['drama', 'comedy', 'war']",['US'],1.0,tt8680948,5.7,2057.0,11.784,8.0
